stratifier,stratum,metric,splits,mean,sd,ci95_low,ci95_high
density_quartile,Q1,auprc,3,0.011542106256374342,0.004331034676646747,0.0007832196852177592,0.022300992827530924
density_quartile,Q1,auroc,3,0.583358137307873,0.14871270663207553,0.21393529454667076,0.9527809800690752
density_quartile,Q1,f1,3,0.011181142759077944,0.015058088234139365,-0.026225222090211588,0.048587507608367476
density_quartile,Q1,mcc,3,0.0037435569607263057,0.030286000500188003,-0.07149103901988008,0.07897815294133267
density_quartile,Q1,p_at_10,3,0.003174603174603175,0.00549857399228215,-0.010484611840474483,0.016833818189680834
density_quartile,Q1,p_at_5,3,0.0,0.0,0.0,0.0
density_quartile,Q1,p_at_nc,3,0.0030630630630630626,0.003934227632710759,-0.006710100165963961,0.012836226292090087
density_quartile,Q2,auprc,3,0.07222790006691657,0.02046583175620231,0.02138795559899692,0.12306784453483621
density_quartile,Q2,auroc,3,0.6027997618056579,0.0862471720732633,0.38854990912664455,0.8170496144846712
density_quartile,Q2,f1,3,0.04380270589163234,0.015770425719979837,0.004626796630273079,0.0829786151529916
density_quartile,Q2,mcc,3,0.02323739137027908,0.027621853360870332,-0.04537909623189651,0.09185387897245467
density_quartile,Q2,p_at_10,3,0.09834881320949433,0.04460497059810972,-0.0124560763847847,0.20915370280377338
density_quartile,Q2,p_at_5,3,0.1225088865955739,0.0967452697021356,-0.11781968630495775,0.3628374594961055
density_quartile,Q2,p_at_nc,3,0.06862955750385955,0.02482815908137676,0.006952991216475107,0.13030612379124398
density_quartile,Q3,auprc,3,0.07539544425841427,0.007580635738636942,0.05656410114102392,0.09422678737580462
density_quartile,Q3,auroc,3,0.5675419393290563,0.04047660739685262,0.4669924724508223,0.6680914062072902
density_quartile,Q3,f1,3,0.04992618104338579,0.03749009275558152,-0.0432043721877721,0.14305673427454368
density_quartile,Q3,mcc,3,0.0095934730934585,0.02926204230726346,-0.06309746972484831,0.0822844159117653
density_quartile,Q3,p_at_10,3,0.025413533834586468,0.013205499276747213,-0.00739074492127299,0.05821781259044592
density_quartile,Q3,p_at_5,3,0.031127819548872185,0.017898527430710985,-0.013334587426554717,0.07559022652429909
density_quartile,Q3,p_at_nc,3,0.037533183786457085,0.023808475448025262,-0.021610347933264308,0.09667671550617848
density_quartile,Q4,auprc,3,0.15603662048613684,0.055187673172787374,0.01894284033386373,0.29313040063840995
density_quartile,Q4,auroc,3,0.5317941334843631,0.023948573680253382,0.4723025784626143,0.591285688506112
density_quartile,Q4,f1,3,0.10820242793396223,0.029685199980951288,0.034460303180430946,0.18194455268749352
density_quartile,Q4,mcc,3,0.019449716107455575,0.041795192615568404,-0.0843752980387468,0.12327473025365795
density_quartile,Q4,p_at_10,3,0.08989898989898988,0.10326770035662268,-0.16663219896262954,0.3464301787606093
density_quartile,Q4,p_at_5,3,0.08080808080808081,0.09565075233260685,-0.15680156021863872,0.3184177218348003
density_quartile,Q4,p_at_nc,3,0.10317799424072482,0.0661739546317674,-0.06120722199570397,0.2675632104771536
ligand_atoms_quartile,Q1,auprc,3,0.11589934639834715,0.01778865834921356,0.07170986935162338,0.16008882344507092
ligand_atoms_quartile,Q1,auroc,3,0.5622078161689432,0.04287370722487577,0.45570362320908675,0.6687120091287997
ligand_atoms_quartile,Q1,f1,3,0.08180789867145229,0.036984389768372455,-0.010066418698234797,0.17368221604113937
ligand_atoms_quartile,Q1,mcc,3,0.020276241891214002,0.027657202434547237,-0.048428057677957825,0.08898054146038584
ligand_atoms_quartile,Q1,p_at_10,3,0.06972934472934472,0.04425312893961576,-0.040201521732504686,0.17966021119119413
ligand_atoms_quartile,Q1,p_at_5,3,0.06022079772079772,0.039132375804404075,-0.03698941276530861,0.15743100820690403
ligand_atoms_quartile,Q1,p_at_nc,3,0.08090732696936011,0.02539996823640281,0.017810307996051364,0.14400434594266887
ligand_atoms_quartile,Q2,auprc,3,0.09920767205419878,0.032224060011406416,0.01915866935415833,0.17925667475423923
ligand_atoms_quartile,Q2,auroc,3,0.5521061553656383,0.07022760911108608,0.37765110316672834,0.7265612075645483
ligand_atoms_quartile,Q2,f1,3,0.06504828466447206,0.009579484244333459,0.0412515265940052,0.08884504273493891
ligand_atoms_quartile,Q2,mcc,3,0.009416592562661944,0.02576171130224545,-0.05457904600247068,0.07341223112779457
ligand_atoms_quartile,Q2,p_at_10,3,0.07601346801346802,0.051136582200139814,-0.05101684427991997,0.203043780306856
ligand_atoms_quartile,Q2,p_at_5,3,0.08169696969696971,0.0720195871734844,-0.09720960278537324,0.2606035421793127
ligand_atoms_quartile,Q2,p_at_nc,3,0.06368979877931284,0.03788880218438033,-0.030431203579954616,0.15781080113858031
ligand_atoms_quartile,Q3,auprc,3,0.0469529597035245,0.01370800947275384,0.01290037641922593,0.08100554298782306
ligand_atoms_quartile,Q3,auroc,3,0.5646144211394918,0.04317705789800803,0.4573566633326226,0.671872178946361
ligand_atoms_quartile,Q3,f1,3,0.037419071197072044,0.0270282087095584,-0.029722721339400703,0.10456086373354478
ligand_atoms_quartile,Q3,mcc,3,0.012937041873996224,0.021060601908773787,-0.03938039355974972,0.06525447730774217
ligand_atoms_quartile,Q3,p_at_10,3,0.03712121212121212,0.0375057387711714,-0.05604820796731124,0.13029063220973547
ligand_atoms_quartile,Q3,p_at_5,3,0.053409090909090906,0.046839690558011245,-0.06294715081278068,0.1697653326309625
ligand_atoms_quartile,Q3,p_at_nc,3,0.03441880997988194,0.015202007386097558,-0.0033450698622300573,0.07218268982199394
ligand_atoms_quartile,Q4,auprc,3,0.08807386901376547,0.0915776290732079,-0.13941757291967372,0.3155653109472047
ligand_atoms_quartile,Q4,auroc,3,0.58272580443604,0.12985733893656662,0.26014229163617036,0.9053093172359097
ligand_atoms_quartile,Q4,f1,3,0.041544988631849626,0.06110908207535088,-0.1102583866819756,0.19334836394567487
ligand_atoms_quartile,Q4,mcc,3,0.024546636693650953,0.09125760052024644,-0.20214981024253975,0.25124308362984166
ligand_atoms_quartile,Q4,p_at_10,3,0.15,0.25980762113533157,-0.49539790946241924,0.7953979094624193
ligand_atoms_quartile,Q4,p_at_5,3,0.09999999999999999,0.17320508075688773,-0.3302652729749463,0.5302652729749463
ligand_atoms_quartile,Q4,p_at_nc,3,0.08656997333467921,0.14463462416096326,-0.2727223509684051,0.44586229763776347
ligand_similarity_bin,0.4-0.8,auprc,3,0.05832479930955777,0.005967182513853498,0.04350149619399716,0.07314810242511838
ligand_similarity_bin,0.4-0.8,auroc,3,0.5541972420086893,0.03837847681878527,0.45885982042360896,0.6495346635937695
ligand_similarity_bin,0.4-0.8,f1,3,0.03549125919415887,0.008779618283078902,0.013681478322389879,0.05730104006592786
ligand_similarity_bin,0.4-0.8,mcc,3,-0.000111002786676858,0.00401412320542604,-0.010082637620887801,0.009860632047534085
ligand_similarity_bin,0.4-0.8,p_at_10,3,0.04619431025228127,0.014879134105896932,0.00923249210163217,0.08315612840293037
ligand_similarity_bin,0.4-0.8,p_at_5,3,0.05997423510466989,0.0277393329141728,-0.008934087886223942,0.12888255809556373
ligand_similarity_bin,0.4-0.8,p_at_nc,3,0.03713332405436118,0.010344312193438284,0.01143662803252236,0.06283002007619999
ligand_similarity_bin,<0.4,auprc,3,0.10252148163724761,0.03245453992171404,0.02189993510021114,0.18314302817428407
ligand_similarity_bin,<0.4,auroc,3,0.5668984545740446,0.052906060314542216,0.4354725149665528,0.6983243941815365
ligand_similarity_bin,<0.4,f1,3,0.07786939931669769,0.0194392143980109,0.02957971374379883,0.12615908488959654
ligand_similarity_bin,<0.4,mcc,3,0.02881840042545963,0.016382895214023575,-0.011878967403350333,0.0695157682542696
ligand_similarity_bin,<0.4,p_at_10,3,0.052397978642257814,0.059460554495074966,-0.09531022714054352,0.20010618442505915
ligand_similarity_bin,<0.4,p_at_5,3,0.04746376811594203,0.0456564870288274,-0.06595323309840789,0.16088076933029197
ligand_similarity_bin,<0.4,p_at_nc,3,0.06575481262584919,0.0439270898070021,-0.043366127731168255,0.17487575298286662
ligand_similarity_bin,>=0.8,auprc,1,0.3252229105243805,,,
ligand_similarity_bin,>=0.8,auroc,1,0.70528296226735,,,
ligand_similarity_bin,>=0.8,f1,1,0.1499250374812593,,,
ligand_similarity_bin,>=0.8,mcc,1,0.1835299451878699,,,
ligand_similarity_bin,>=0.8,p_at_10,1,0.7,,,
ligand_similarity_bin,>=0.8,p_at_5,1,0.6,,,
ligand_similarity_bin,>=0.8,p_at_nc,1,0.3571428571428571,,,
rna_length_quartile,Q1,auprc,3,0.15475407704385502,0.11531375534157327,-0.13170117128369818,0.4412093253714082
rna_length_quartile,Q1,auroc,3,0.5444198408012967,0.0477100232997877,0.42590157269380713,0.6629381089087862
rna_length_quartile,Q1,f1,3,0.07228903523244039,0.006992540022905707,0.054918602860616804,0.08965946760426396
rna_length_quartile,Q1,mcc,3,0.006167111323226925,0.01978794238443536,-0.042988862591891705,0.05532308523834556
rna_length_quartile,Q1,p_at_10,3,0.10309523809523809,0.13961743161541237,-0.2437336889983306,0.44992416518880674
rna_length_quartile,Q1,p_at_5,3,0.10269841269841272,0.14613410836148488,-0.26031883685536106,0.4657156622521865
rna_length_quartile,Q1,p_at_nc,3,0.09126267774457819,0.11420352367784806,-0.19243460223833592,0.3749599577274923
rna_length_quartile,Q2,auprc,3,0.08671028961854976,0.007664676676366004,0.06767017723841579,0.10575040199868374
rna_length_quartile,Q2,auroc,3,0.5564602332893626,0.004906963478277256,0.5442706602627925,0.5686498063159326
rna_length_quartile,Q2,f1,3,0.06131594888299737,0.0616403999703373,-0.09180729325069145,0.2144391910166862
rna_length_quartile,Q2,mcc,3,0.0040258164525563645,0.06318202833297347,-0.15292704283426087,0.1609786757393736
rna_length_quartile,Q2,p_at_10,3,0.04781144781144781,0.04834874977988959,-0.07229350483275637,0.167916400455652
rna_length_quartile,Q2,p_at_5,3,0.04377104377104377,0.04913633569047,-0.07829038073487643,0.165832468276964
rna_length_quartile,Q2,p_at_nc,3,0.05430066296152699,0.03196074493531269,-0.025094228827916613,0.13369555475097059
rna_length_quartile,Q3,auprc,3,0.07962499234479248,0.018474014554545153,0.03373299610242239,0.12551698858716256
rna_length_quartile,Q3,auroc,3,0.6069094822084616,0.04745300566094519,0.4890296813102058,0.7247892831067175
rna_length_quartile,Q3,f1,3,0.07576820409341924,0.01674219910021771,0.03417827593093598,0.1173581322559025
rna_length_quartile,Q3,mcc,3,0.044816257299704045,0.02736679891782806,-0.02316663994196077,0.11279915454136885
rna_length_quartile,Q3,p_at_10,3,0.0965909090909091,0.041019421926772826,-0.005306983831585663,0.19848880201340385
rna_length_quartile,Q3,p_at_5,3,0.12201178451178452,0.0847695653197711,-0.08856748950774182,0.3325910585313109
rna_length_quartile,Q3,p_at_nc,3,0.08935051021385589,0.04225945564971852,-0.015627797243650446,0.19432881767136223
rna_length_quartile,Q4,auprc,3,0.021844706336087077,0.006177826794572102,0.00649813381902886,0.03719127885314529
rna_length_quartile,Q4,auroc,3,0.5712785744491999,0.09397218882344004,0.33783871633716966,0.8047184325612302
rna_length_quartile,Q4,f1,3,0.02291717871286492,0.00927513406170249,-0.0001235315913502462,0.04595788901708009
rna_length_quartile,Q4,mcc,3,0.014578024102061523,0.02763211537452501,-0.05406395575523215,0.0832200039593552
rna_length_quartile,Q4,p_at_10,3,0.02642543859649123,0.037030085127156664,-0.06556239233720366,0.11841326953018612
rna_length_quartile,Q4,p_at_5,3,0.024999999999999998,0.04330127018922193,-0.08256631824373657,0.13256631824373658
rna_length_quartile,Q4,p_at_nc,3,0.02000041323196357,0.01080521661834093,-0.006841232853288505,0.04684205931721565
