independent_index,independent_name,independent_smiles,best_pdb_index,best_pdb_name,best_similarity,best_pdb_smiles
25,Ethidium Bromide,[Br-].CC[N+]1=C(C2C=C(N)C=CC2C2=CC=C(N)C=C12)C1=CC=CC=C1,120,2kd4:PRL,0.19607843137254902,Nc1ccc2cc3ccc(N)cc3nc2c1
40,DPF m2,N=C(NCCC1=CC=CC=C1)C2=CC(C3=CC=C(C4=CC(C(NCCC5=CC=CC=C5)=N)=CC=C4)O3)=CC=C2,241,3s4p:JS6,0.1927710843373494,NC[C@@H]1O[C@H](O[C@H]2[C@@H](OCCNCCc3ccccc3)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
43,DPF p8,N=C(NC1CCN(CC2=CC=CC=C2)CC1)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(C(NC6CCN(CC7=CC=CC=C7)CC6)=N)C=C5)O4,341,5c45:51B,0.1927710843373494,CNc1ncc(CN2CCC[C@H](c3nc(O)cc(-c4cccs4)n3)C2)cn1
18,DMA-193,NC(=[NH2+])NC(=O)C1=NC(=C(NCCC2=CNC3=C2C=CC=C3)N=C1N)C1=CN=C(NCCCN2C=CN=C2)N=C1,65,23jz:AMR,0.18478260869565216,[H]/N=C(/N)NC(=O)c1nc(Cl)c(N)nc1N
46,Bernil p8,N=C(NC1CCN(CC2=CC=CC=C2)CC1)C1=CC=C(N\N=N\C2=CC=C(C=C2)C(=N)NC2CCN(CC3=CC=CC=C3)CC2)C=C1,341,5c45:51B,0.1839080459770115,CNc1ncc(CN2CCC[C@H](c3nc(O)cc(-c4cccs4)n3)C2)cn1
47,Bernil p13,N=C(NCCC1CCN(CC2=CC=CC=C2)CC1)C1=CC=C(N\N=N\C2=CC=C(C=C2)C(=N)NCCC2CCN(CC3=CC=CC=C3)CC2)C=C1,341,5c45:51B,0.17582417582417584,CNc1ncc(CN2CCC[C@H](c3nc(O)cc(-c4cccs4)n3)C2)cn1
26,H-33258,[H][N+]1=C(NC2=C1C=C(C=C2)N1CC[N+]([H])(C)CC1)C1=CC2=C(NC(=[N+]2[H])C2=CC=C(O)C=C2)C=C1,450,6hmo:GDZ,0.175,Cc1cn2cc(-c3cc(=O)n4cc(N5CCN(C)CC5)ccc4n3)cc(F)c2n1
42,DPF p5,N=C(NCC1=CC=C(Cl)C=C1)C(C=C2)=CC=C2C3=CC=C(C4=CC=C(C(NCC5=CC=C(Cl)C=C5)=N)C=C4)O3,0,12ci:LDP,0.1702127659574468,NCCc1ccc(O)c(O)c1
34,DPF m3,N=C(NCCC1=CC=CN=C1)C2=CC(C3=CC=C(C4=CC(C(NCCC5=CC=CN=C5)=N)=CC=C4)O3)=CC=C2,0,12ci:LDP,0.16363636363636364,NCCc1ccc(O)c(O)c1
37,DPF p6,N=C(NCC1=CC=CC=C1Cl)C(C=C2)=CC=C2C3=CC=C(C4=CC=C(C(NCC5=CC=CC=C5Cl)=N)C=C4)O3,50,1uud:P14,0.16176470588235295,COc1ccc(OCCNC(N)=[NH2+])c(CNCCCCNC(N)=[NH2+])c1
44,DPF p13,[NH2+]=C(NCCC1CC[NH+](CC2=CC=CC=C2)CC1)C1=CC=C(C=C1)C1=CC=C(O1)C1=CC=C(C=C1)C(=[NH2+])NCCC1CC[NH+](CC2=CC=CC=C2)CC1,241,3s4p:JS6,0.1595744680851064,NC[C@@H]1O[C@H](O[C@H]2[C@@H](OCCNCCc3ccccc3)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
38,DPF p15,[NH2+]=C(N[C@H]1CCC[NH+](CC2=CC=CC=C2)C1)C1=CC=C(C=C1)C1=CC=C(O1)C1=CC=C(C=C1)C(=[NH2+])N[C@H]1CCC[NH+](CC2=CC=CC=C2)C1,241,3s4p:JS6,0.14736842105263157,NC[C@@H]1O[C@H](O[C@H]2[C@@H](OCCNCCc3ccccc3)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
45,Bernil m3,N=C(NCCC1=CC=CN=C1)C1=CC(=CC=C1)N=NNC1=CC(=CC=C1)C(=N)NCCC1=CC=CN=C1,50,1uud:P14,0.1375,COc1ccc(OCCNC(N)=[NH2+])c(CNCCCCNC(N)=[NH2+])c1
