"setting","model","runs","pcc_mean","pcc_sd","pcc_ci95_low","pcc_ci95_high","scc_mean","scc_sd","scc_ci95_low","scc_ci95_high","rmse_mean","rmse_sd","rmse_ci95_low","rmse_ci95_high","mae_mean","mae_sd","mae_ci95_low","mae_ci95_high"
"cold_rna","Contact500 pretraining without SCA","3","0.23011117652386162","0.16848371872388024","-0.1884255829740645","0.6486479360217877","0.20954485667416833","0.24240899343456707","-0.39263246558407794","0.8117221789324146","1.5952734235361075","0.2640205539995651","0.9394100086685734","2.2511368384036414","1.2325001870242829","0.13196747703986061","0.9046748005850194","1.5603255734635464"
"cold_rna","DeepRSMA","3","0.2744521587237991","0.17652295955377","-0.16405518209349923","0.7129594995410974","0.2510529580410099","0.24028327290593232","-0.3458437816874129","0.8479496977694327","1.668938902676292","0.2637881994916283","1.0136526884044188","2.324225116948165","1.2840329182862105","0.1342448050284689","0.9505503355084206","1.6175155010640003"
"cold_rna","Ligand-only descriptors","3","0.34824790253274723","0.16319633458440902","-0.057154266627807815","0.7536500716933023","0.31626608100914944","0.16848165264434734","-0.1022655460626935","0.7347977080809924","1.3201426221726413","0.13530039091103963","0.9840378186959662","1.6562474256493165","1.0297888244298123","0.15178913836047084","0.652723701594478","1.4068539472651467"
"cold_rna","RNA+ligand descriptors","3","0.4093849794857067","0.1661054355385971","-0.0032437970624358825","0.8220137560338492","0.35453231610174746","0.1735435815875986","-0.07657383955222646","0.7856384717557214","1.2578000967282212","0.12429208641450253","0.9490414375938245","1.566558755862618","0.992250914920104","0.15285551252085913","0.612536771818113","1.371965058022095"
"cold_rna","Sequence-SMILES ridge","3","0.10227789510906776","0.2303804841068101","-0.4700189535119568","0.6745747437300924","0.05843212111738217","0.23356047298736254","-0.5217642578047694","0.6386285000395338","1.5171054080985071","0.1723744930036725","1.0889034294842408","1.9453073867127735","1.2178155518109088","0.18565983861814755","0.7566109451420882","1.6790201584797295"
"cold_scaffold","Contact500 pretraining without SCA","3","0.36074540333264227","0.1990489673862549","-0.13371964303651512","0.8552104497017996","0.3486217818582931","0.23553070994697314","-0.2364689369963115","0.9337125007128977","1.354567389933582","0.05058372152307886","1.228910459697425","1.480224320169739","1.0668154568738657","0.035077667470205964","0.9796777002708893","1.1539532134768422"
"cold_scaffold","DeepRSMA","3","0.3423649013413801","0.16533351121468012","-0.06834630888310295","0.7530761115658631","0.3461401572457136","0.1840357675798908","-0.11103003331041189","0.8033103478018391","1.3134257865474919","0.026015748730445085","1.2487990840267724","1.3780524890682113","1.0405293816818535","0.0237951918824048","0.9814188481684364","1.0996399151952705"
"cold_scaffold","Ligand-only descriptors","3","0.4749901557052499","0.11055033865835934","0.20036789039724906","0.7496124210132507","0.4756871632784902","0.11014859987948511","0.2020628724213634","0.749311454135617","1.1983141887168312","0.02504719935811007","1.1360934962176212","1.260534881216041","0.9091492676329563","0.04202368454520352","0.8047566480675168","1.0135418871983959"
"cold_scaffold","RNA+ligand descriptors","3","0.6830878970874362","0.05442074721801279","0.5478992666215388","0.8182765275533337","0.734840007870525","0.06101746627580238","0.5832642188193503","0.8864157969216996","1.011643273286186","0.0051707852489587345","0.9987983306498852","1.0244882159224866","0.7338606335451492","0.00588326040049522","0.7192458045162317","0.7484754625740667"
"cold_scaffold","Sequence-SMILES ridge","3","0.5553616026243063","0.012489470900274717","0.5243360369611255","0.5863871682874872","0.5686936551244736","0.03964752895432178","0.4702037332713297","0.6671835769776174","1.1525070740174908","0.06917461252287631","0.9806678103536971","1.3243463376812845","0.871871094486619","0.06533371102723509","0.709573159075266","1.0341690298979722"
"double_cold","Contact500 pretraining without SCA","3","0.2876551425537128","0.16993984046836758","-0.134498823882594","0.7098091089900196","0.2618275438782286","0.197552893538363","-0.228921049025817","0.7525761367822742","1.5339290576664473","0.1899325397549647","1.0621104729726207","2.005747642360274","1.2243386274861374","0.1622333158750092","0.8213287294187236","1.6273485255535514"
"double_cold","DeepRSMA","3","0.13236180653213533","0.13285274915774106","-0.19766271776031616","0.4623863308245868","0.07634021347075164","0.09318578422992965","-0.15514610733384582","0.30782653427534906","1.7006141529297347","0.07085908009522278","1.5245904398452546","1.876637866014215","1.3875238361294413","0.04443555434734197","1.277139799832678","1.4979078724262047"
"double_cold","Ligand-only descriptors","3","0.19580051324178763","0.12991350330633303","-0.12692251958707543","0.5185235460706507","0.1331806045756376","0.18424307174790888","-0.3245045580820647","0.5908657672333398","1.5372250931888678","0.05735932700709611","1.3947366258499212","1.6797135605278144","1.2333224647684806","0.06990286704713032","1.0596741165772348","1.4069708129597265"
"double_cold","RNA+ligand descriptors","3","0.1927868114237553","0.12677575882006956","-0.122141631996944","0.5077152548444546","0.13886415418855083","0.060758010313646485","-0.012067110522493901","0.2897954188995956","1.5274505406084928","0.14949250871378192","1.1560905620884223","1.8988105191285634","1.23404333801434","0.14927614032976794","0.8632208483566293","1.6048658276720509"
"double_cold","Sequence-SMILES ridge","3","0.04807789176922598","0.021870644979507647","-0.0062518022046719884","0.10240758574312395","0.0014523931796018204","0.11593146750006555","-0.28653733721586877","0.28944212357507243","1.6467711075201958","0.15465813036557077","1.2625790134502828","2.030963201590109","1.3419030466373638","0.13629038616856443","1.0033389586070174","1.6804671346677102"
"independent","DeepRSMA","3","0.38749524816244224","0.021550146901191024","0.3339617155514341","0.44102878077345037","0.34484942251326145","0.028371479620244444","0.2743707600504563","0.4153280849760666","0.9700026523092161","0.01202389164183634","0.9401336496397309","0.9998716549787013","0.7714188281032773","0.013120000088308732","0.738826941105742","0.8040107151008127"
"independent","Global-deoverlap Contact270 pretraining without SCA","3","0.422103380626248","0.09908306881953301","0.17596739277569284","0.6682393684768032","0.42606815586384017","0.14349877460550037","0.06959743827635612","0.7825388734513242","0.9658114125633727","0.03880533970339191","0.8694136047888945","1.0622092203378508","0.7660914113124212","0.03221373820256645","0.6860680494069736","0.8461147732178688"
"independent","Ligand-only descriptors","3","-0.44906492302457307","0.033625432123936004","-0.5325951270375435","-0.3655347190116026","-0.419265250152141","0.04265946191248758","-0.5252372282519282","-0.31329327205235374","1.2478870122677137","0.007314840331314239","1.2297159415452636","1.2660580829901638","0.9904860234185006","0.014460779919432279","0.9545634546793169","1.0264085921576842"
"independent","RNA+ligand descriptors","3","-0.22384138682537183","0.008688624347865619","-0.24542512623113694","-0.20225764741960672","-0.33607439785854315","0.013522248378397442","-0.369665525002975","-0.3024832707141113","1.1312865320316616","0.002110781466198678","1.1260430601902138","1.1365300038731094","0.9091623669565139","0.0044794109479942565","0.8980348932941741","0.9202898406188537"
"independent","Sequence-SMILES ridge","3","0.3866251899749667","0.0","0.3866251899749667","0.3866251899749667","0.3993812252128926","0.0","0.3993812252128926","0.3993812252128926","1.000990056983352","0.0","1.000990056983352","1.000990056983352","0.8212495536521965","0.0","0.8212495536521965","0.8212495536521965"
